Gene,EOL-1,HEL,Molm-13,MonoMac1,MV4;11,NB-4,OCI-AML2,OCI-AML3,OCI-AML5,P31-FUJ,PL-21,SKM-1,TF-1,THP-1
DMRTA2,0.539,-0.15,-0.474,0.052,0.23,0.306,-0.06,-0.187,-0.033,0.121,-0.255,-0.452,-1.038,0.172
DNAH17,-0.043,-0.221,-0.175,-0.438,-0.936,-0.166,-0.082,-0.678,-0.975,-0.221,-0.595,-0.324,-1.145,-0.517
DNAJB13,-0.485,-0.117,-0.265,-0.451,-0.199,-0.559,-0.129,0.183,-0.279,-0.331,0.212,-0.012,-1.216,-0.251
DNAJB14,0.107,-0.089,-1.238,-0.531,0.015,-0.334,-0.058,0.163,0.239,-0.544,-0.685,0.256,-0.077,-0.194
DNAJC13,-0.009,-1.021,-0.181,0.037,0.036,-0.111,0.153,0.487,-0.225,-0.08,-0.011,-0.114,-0.64,0.195
DNAJC19,0.171,0.065,0.418,-0.291,0.504,0.65,0.11,0.223,0.561,0.632,-0.458,0.534,0.225,-0.187
DNAJC21,-0.738,-0.236,-0.895,-0.425,-0.379,0.293,0.136,-0.503,-0.248,-0.47,-0.51,-0.001,0.207,-0.544
DNAJC22,0.11,-0.864,-0.392,-0.367,0.027,-0.228,-0.397,-0.185,-0.155,-0.289,-0.442,-0.647,-1.094,-0.134
DNAJC25,0.167,-0.24,-0.054,-0.054,-0.435,-0.437,0.383,-0.137,-0.673,0.319,-0.205,0.296,-0.167,-0.483
DNAJC3,-0.009,-0.137,0.54,-0.031,0.277,0.233,0.317,0.214,0.606,-1.237,-0.048,-0.725,0.091,-0.061
DNAJC30,0.178,0.062,-0.391,-0.445,-0.86,-0.142,-0.22,-0.48,0.191,-0.124,-0.326,-0.644,0.19,-0.288
DNM1,-0.242,-0.74,-0.824,0.165,-0.633,-1.052,0.059,-0.052,-0.933,-0.147,0.35,-0.2,0.524,-0.29
DOCK10,0.055,-0.141,-1.133,-0.106,-0.569,-0.06,-0.046,-0.424,-0.324,-0.153,-0.462,-0.224,0.466,-0.239
DOCK2,-0.249,-0.083,-0.8,-0.408,-0.157,0,-0.578,-1.085,-0.164,-0.742,-0.442,-0.827,-0.667,-0.345
DOCK8,-0.947,0.472,-0.859,0.412,-0.456,-0.65,-0.283,-0.476,-1.188,-0.456,-0.369,-0.23,0.329,-0.331
DPCD,0.629,-0.512,-0.049,-0.152,-0.451,0.199,0.22,-0.475,-0.125,-0.336,-0.106,-0.45,-0.192,0.225
DPEP2,-0.049,0.064,-0.289,-0.696,-0.767,-0.477,-0.132,-0.551,-0.257,-0.211,-0.977,-0.639,-0.342,0.057
DPH7,-0.615,-0.329,-0.391,-0.118,-0.329,-0.883,-0.457,-0.956,-0.403,-0.02,-0.558,0.217,-0.739,0.295
DPP7,-0.96,-0.471,-1.141,-0.199,-0.364,-0.108,-0.169,0.255,-0.498,-0.144,-0.119,-0.444,-0.513,0.008
DPYSL4,0.376,0.216,-0.036,-0.361,-0.532,-0.525,0.287,-0.318,0.289,0.054,0.034,0.052,0.154,0.389
DRD4,-0.143,0.509,-0.252,-0.654,-0.289,0.257,-0.008,-0.221,-0.812,0.065,-0.268,0.022,0.035,-0.421
DSCR4,0.053,-0.398,0.117,0.109,0.317,0.392,-0.264,0.007,-0.167,0.131,-0.595,-0.452,-0.631,0.096
DSTYK,0.333,0.659,-0.009,-0.036,-0.053,-0.175,-0.544,-0.347,-0.108,-0.039,-0.697,-0.15,0.045,-0.288
DTWD1,0.971,0.521,0.389,0.193,0.355,0.615,0.512,-0.306,0.453,0.23,-0.005,0.996,0.61,0.091
DTX1,0.021,-0.774,0.252,-0.599,-0.046,0.015,-0.059,-0.125,-0.329,0.312,-0.471,0.187,-0.229,-0.323
DUSP10,-0.335,-0.129,0.024,0.265,0.036,0.27,-0.915,-0.295,-0.43,-0.135,-0.576,-0.243,0.053,-1.005
DUSP13,0.109,-0.061,0.259,-0.943,-0.097,-0.083,-0.071,-0.669,0.031,-0.398,-0.392,0.109,-0.748,0.165
DUSP6,0.144,0.234,-0.056,-0.39,0.26,-0.536,0.258,0.29,0.467,0.513,-0.361,0.947,-0.038,0.154
DVL3,0.053,-0.105,-0.799,-0.172,-0.044,-0.309,-0.485,-0.225,-0.105,-0.44,-0.895,-0.705,-0.896,-0.035
DYNC1I1,-0.872,0.14,-0.818,-0.278,-0.457,-0.012,-0.425,-0.673,0.071,-0.818,-0.955,-0.121,-0.293,-0.122
DYRK1B,-0.962,-0.415,-0.729,-0.086,-0.56,0.09,-0.042,0.139,-0.785,-0.551,-0.6,-0.064,-0.366,-0.285
DYSF,-0.595,-0.161,-0.171,-0.208,-0.43,0.038,-0.116,0.105,-0.704,-0.42,-0.947,-0.205,-0.882,0.308
DYTN,-0.259,0.101,-0.843,-0.384,-0.055,-0.528,0.05,0.168,-0.359,-0.284,0.035,0.138,-1.416,0.043
E2F8,-0.64,-0.548,-0.226,-0.662,-0.073,-0.321,0.148,-0.23,-0.418,-0.918,-0.523,0.001,-0.949,-0.848
EBF3,-0.723,0.005,0.224,-0.233,-0.864,-0.88,-0.149,-0.017,-0.202,-0.127,-0.499,-0.128,-0.617,-0.675
ECE1,0.321,-0.101,-0.362,0.119,0.546,0.146,0.109,0.444,-0.38,0.286,-0.475,-0.193,-0.403,-0.287
ECE2,0.363,0.027,-0.071,-0.459,0.104,-0.064,-0.355,-0.611,0.114,-0.059,-0.852,-0.324,-0.876,0.036
ECHS1,-0.849,-0.72,0.605,-0.73,-0.958,-0.451,-0.572,-0.485,-0.218,-0.533,-0.413,-0.483,-0.193,-1.903
ECSIT,-0.414,0.189,-0.012,-0.541,-0.524,-0.303,-0.195,-0.451,-0.265,-0.003,0.019,0.164,-1.015,-0.522
EDC3,-0.397,-0.321,0.388,-0.01,0.68,-0.063,0.427,0.669,0.637,-0.042,-0.442,-0.083,-0.275,0.355
EDEM3,-0.258,-0.283,-0.763,-0.133,-0.279,-0.549,-0.457,-0.379,-0.627,-0.201,-0.667,-0.477,-1.338,0.19
EDF1,0.45,0.18,0.028,-0.108,0.362,0.155,0.403,-0.505,0.029,-0.249,-0.404,0.033,-0.403,-0.445
EFCAB5,-0.125,0.333,0.637,-0.538,0.391,0.004,0.22,-0.226,0.431,0.34,-0.846,0.167,0.086,-0.072
EFNA2,-0.721,-0.685,-0.816,-0.58,-0.623,-0.278,-0.448,0.247,-0.906,-1.013,-0.256,-0.062,-0.449,-0.627
EFNB3,-0.658,-0.642,-0.665,-0.34,-0.74,-0.601,-0.511,-0.648,-0.732,-0.769,0.187,-0.612,-1.359,-0.732
EGLN1,0.016,-0.138,-0.211,-0.051,0.434,-0.073,-0.06,-0.807,-0.086,0.252,-0.5,-0.459,-0.587,-0.71
EGLN2,-0.537,-0.403,-0.279,0.024,-0.433,0.44,-0.242,-0.761,-0.186,-1.103,-0.244,-0.442,-0.462,-0.624
EGR4,0.155,-0.443,-0.069,-0.293,-0.38,-0.365,-0.167,-0.504,-0.186,-0.19,-0.595,-0.039,-0.972,0.314
EHD3,-0.06,-0.903,-0.046,0.049,-0.129,0.273,-0.596,-0.112,-0.488,0.201,0.316,-0.237,-1.2,0.104
EI24,-0.494,-0.399,0.1,0.12,0.24,0.661,0.403,0.22,0.355,0.093,0.032,-0.491,-0.35,-0.292
EID2B,-0.532,-0.016,-0.041,0.135,0.112,-0.041,0.403,0.262,-0.799,-0.074,-0.152,0.385,-0.599,-0.058
EIF2A,0.377,-0.353,-0.187,-0.537,-0.325,0.067,0.372,-0.695,-0.177,-0.463,-0.611,-0.679,-0.458,-0.597
EIF2AK3,0.285,-0.196,-1.057,-0.162,-0.134,-0.714,0.07,-0.283,-0.574,0.052,-0.219,-0.131,0.039,0.351
EIF2D,-0.068,0.275,-0.051,-0.014,0.039,-0.172,-1.003,0.099,-0.199,0.146,-0.365,-0.611,0.026,-0.964
ELF2,0.225,-0.907,-0.273,-0.292,-0.12,0.173,-0.417,0.582,-0.266,0.3,-0.203,-0.911,-0.389,1.262
ELF4,-0.16,0.491,0.295,-1.085,0.398,0.204,0.025,0.016,-0.364,0.397,0.706,0.203,0.162,-0.638
ELFN2,-0.342,0.253,-0.134,-0.005,-0.905,0.265,-0.415,-0.194,-0.698,-0.556,-0.085,0.139,-0.853,-0.128
ELMO1,-0.473,-0.193,0.26,-0.135,0.503,-0.115,-0.045,-0.284,-0.018,-0.227,-0.032,-1.206,-0.241,-0.151
ELMO2,0.231,0.225,-0.006,-0.391,0.193,-0.118,-0.54,-1.271,-0.342,-0.75,-0.466,0.032,-0.195,-0.584
ELMSAN1,0.219,-0.536,-0.651,-0.394,0.151,-0.301,-0.158,-0.708,-1.193,-0.446,-0.364,-0.029,-0.656,-0.757
ELOVL6,-0.105,0.523,1.008,-0.199,-0.078,0.11,0.506,0.144,0.527,0.06,-0.073,0.263,0.324,0.216
EME1,-0.792,-0.656,-1.087,-0.222,-0.784,0.166,-0.564,-0.372,-0.858,-0.344,0.288,-0.409,-0.417,-0.419
EML3,-0.419,0.34,-0.875,-0.522,-0.224,-0.144,-0.758,-0.49,-1.179,-0.574,-0.412,-0.814,-0.759,-0.268
EMP1,0.507,-0.555,-0.626,-0.033,-0.064,0.128,-0.138,-0.239,-0.317,-0.031,-0.391,0.375,0.354,-0.32
ENG,-0.261,-0.478,0.367,0.109,0.217,-0.044,-0.498,-0.206,0.141,0.381,0.371,-0.293,-0.432,0.784
ENPP1,0.119,-0.472,-0.75,-0.069,0.003,-0.011,-0.094,-0.076,-0.361,-0.163,-0.845,0.031,-0.938,-0.18
ENPP2,-0.221,-0.052,-1.372,-0.185,-0.632,0.557,-0.105,-0.299,0.02,-0.381,-0.769,-0.426,-0.105,-0.126
ENTPD4,-0.219,-0.151,-0.626,0.062,-0.569,0.129,-0.287,-0.343,-0.023,0.072,-1.049,0.31,-0.092,0.003
ENTPD6,0.181,-0.387,-0.602,-0.566,-0.463,-0.891,-0.462,-0.256,-0.755,-0.348,-0.986,0.081,-0.622,-0.14
ENTPD7,-0.392,-0.263,-0.836,0.068,-0.185,-0.329,0.066,-0.43,0.049,-0.188,0.149,-0.204,-1.231,-0.06
EPC1,0.23,0.121,0.498,0.224,-0.29,0.007,0.674,-0.939,-1.083,0.003,0.31,-0.997,-0.862,-0.587
EPHX1,0.048,-0.15,-0.103,-0.202,0.101,0.172,-0.802,-0.441,-1.067,-0.038,-0.079,-0.472,-0.187,-0.383
EPHX2,-0.165,0.184,-1.167,-0.094,-0.594,-0.372,-0.18,-0.561,-0.959,-0.023,-0.216,0.018,-0.16,-0.322
EPM2A,-0.112,-0.321,-1.179,-0.069,-0.339,-0.645,-0.335,-0.095,0.076,-0.09,-0.162,-0.015,-0.9,-0.472
EPS8L1,-0.151,-0.176,-0.499,0.217,-1.169,0.302,-0.06,-0.528,-0.589,-0.618,-0.75,-0.064,-0.61,-0.112
EPS8L2,-0.066,0.264,-0.967,-0.595,-0.653,-0.15,0.024,-0.884,-0.856,-0.236,-0.212,-0.261,-0.764,-0.876
EPT1,0.032,-0.382,-0.736,-0.021,0.701,-0.696,-0.237,0.043,0.072,0.148,-0.208,0.348,0.276,-0.461
EPYC,0.043,-0.966,-0.637,-0.201,-0.401,-0.564,-0.096,-0.441,-0.456,-0.403,-0.133,-0.372,-1.315,-0.877
ERF,0.206,0.66,-0.004,-0.118,-0.311,0.485,0.107,-0.049,0.676,-0.07,0.567,0.252,-0.329,0.275
ERLIN2,-0.151,-0.109,-0.433,-0.936,-0.855,0.144,-0.637,-0.059,-0.378,0.11,-0.235,0.195,-0.478,-0.233
ESCO2,-0.329,-0.215,-0.548,-0.288,-0.351,-0.3,-0.442,-0.819,-1.349,-0.551,0.547,-0.237,-0.451,-0.947
ESRP1,0.012,0.12,-0.831,-0.031,0.107,-0.081,0.157,-0.702,-0.179,-0.032,-0.359,0.381,-0.535,0.21
ETNK1,-0.53,-0.295,-0.367,0.707,0.17,-0.656,-0.217,-0.174,-0.245,0.376,-0.552,0.126,0.157,-1.759
ETV5,-0.643,0.111,-0.932,-0.434,-0.423,0.464,-0.819,-0.488,-0.019,-0.516,-1.343,-0.446,-0.997,-0.796
EVX2,-0.294,-0.547,-0.498,0.205,0.468,-0.345,-0.061,-0.546,0.047,-0.151,-0.01,0.197,-0.09,-0.528
EXOC6,0.185,-0.327,-0.669,-0.551,-0.077,-0.041,-0.452,-0.227,0.17,-1.141,-0.275,-0.656,-0.238,-0.127
EXOC6B,-1.12,-0.372,-0.185,-0.118,0.012,-0.012,-0.51,-0.565,0.168,-0.031,-0.337,0.063,-0.325,-0.305
EXT1,-0.381,0.303,-0.797,-0.229,-0.361,0.219,-0.151,-0.44,-0.106,0.074,-0.379,-0.023,-0.549,-0.721
EZH1,-0.311,-0.203,-1.244,-0.343,-0.909,-0.08,-0.285,-0.251,-0.151,-0.506,-0.633,-0.314,-0.376,-0.9
FAAH,0.12,-0.636,-1.456,-0.063,-0.286,0.037,-0.523,-0.338,-0.829,-0.519,-0.797,-0.395,-0.788,-0.528
FADD,0.029,-0.155,-0.254,0.081,0.079,-0.717,-0.086,-0.198,0.218,0.098,-0.903,0.257,-0.097,0.014
FAM102B,-0.135,0.25,-0.234,-0.06,-0.471,-0.387,0.144,0.312,-0.013,-0.03,-0.746,0.19,0.054,-1.42
FAM120A,0.028,-0.653,-0.816,-0.069,-0.132,-0.411,-0.932,-1.4,0.343,-0.683,-0.488,0.105,-0.845,-0.409
FAM120AOS,0.264,-0.676,-0.992,0.127,0.407,0.161,-1.054,-0.917,-0.192,-0.272,-0.071,0.299,-0.769,-0.229
FAM124A,0.293,-0.409,-0.73,0.086,-0.296,-0.135,-0.613,0.322,-0.208,-0.605,0.177,-0.105,-0.534,-0.125
FAM149A,0.336,-0.045,-0.212,0.274,-0.087,0.199,-0.198,0.074,0.106,0.177,-0.803,-0.11,-0.674,-0.096
FAM149B1,-0.518,-1.199,-0.368,-0.527,-0.372,-0.518,-0.1,-0.066,-0.092,-0.123,-0.093,-0.264,-0.82,-0.379
FAM161A,-0.425,-0.724,-0.36,0.379,-0.375,-0.297,0.139,-0.255,-0.068,0.096,0.318,-0.455,-0.411,0.396
FAM161B,-0.538,0.198,-0.941,0.208,-0.019,-0.482,-0.127,-0.621,-0.058,-0.219,-0.67,-0.215,-0.069,-0.091
FAM168A,-0.205,-0.628,-0.55,-0.014,-0.521,-0.047,-0.282,0.645,-0.243,0.024,-0.366,0,-0.851,-0.549
FAM173A,0.075,0.264,-0.386,-0.526,-0.274,0.189,-0.237,-0.023,-0.175,-0.086,0.497,-0.488,-0.419,0.507
FAM179B,-0.818,-0.682,-0.583,-0.471,-0.254,-0.091,-0.36,-0.554,-0.939,-0.676,0.36,0.026,-0.187,0.037
FAM181B,0.232,-0.187,0.186,-0.24,0.251,-0.763,-0.023,-0.541,-0.279,0.026,-0.669,0.036,-0.75,0.019
FAM183A,-0.237,-0.046,0.059,0.356,0.319,0.192,0.377,0.072,-0.006,0.284,-0.124,-0.473,-0.275,-1.203
FAM184A,0.028,-0.443,0.262,0.348,0.274,0.157,0.126,0.045,0.498,0.038,-0.21,0.189,-0.853,0.302
FAM193A,-0.185,-0.91,0.279,-0.964,-0.339,-1.172,-0.227,-0.749,0.173,-0.397,-0.857,-0.083,-0.544,-0.525
FAM203A,0.034,-0.527,-1.109,-0.302,-0.776,-0.788,-0.368,-0.903,-0.402,-0.043,-0.396,-0.304,-0.599,-0.373
FAM208A,1.472,0.176,0.064,0.521,-0.223,-0.328,-0.21,0.436,-0.855,-0.38,0.685,-0.219,-0.783,-1.347
FAM211A,-0.039,-0.857,-0.145,0.346,-0.227,0.134,-0.257,-0.047,-0.643,-0.293,-0.26,-0.243,-0.721,0.14
FAM212A,-0.901,-0.576,-0.224,-0.485,0.038,-1.068,0.021,-0.23,-0.258,-0.29,-0.054,-0.324,-0.917,0.053
FAM217B,-0.476,-0.628,-0.967,-0.148,-0.347,-0.412,-0.634,0.257,-0.086,-0.768,-0.617,-0.563,-0.598,-1.036
FAM220A,-0.804,-0.332,0.05,0.011,-0.842,-0.31,-0.378,0.03,-0.168,-0.049,-0.47,-0.343,-1.034,-0.301
FAM229A,0.285,-0.09,0.041,0.324,-0.215,-0.275,-0.278,-0.47,-0.368,-0.011,-0.58,-0.418,0.379,-0.558
FAM3A,0.066,-0.733,-0.894,0.399,-0.463,-0.569,-0.31,-0.445,-0.119,-0.214,-0.309,-0.595,-0.293,-0.289
FAM43A,-0.715,0.098,-0.591,-0.573,-0.349,-0.057,-0.595,0.456,-0.426,-0.044,-0.027,-0.913,-1.844,-0.53
FAM46A,-0.397,-0.111,-0.367,0.651,0.337,0.008,-0.331,-0.112,-0.133,0.362,-0.164,0.182,-0.864,0.709
FAM47C,-0.401,-0.094,0.235,0.419,0.548,-0.53,-0.147,-0.569,-0.276,-0.044,0.279,-0.295,-0.737,-0.429
FAM49B,0.157,-0.117,-0.906,-0.058,-0.246,-0.103,0.272,1.026,0.235,0.568,-0.46,1.292,0.067,0.603
FAM53C,-0.19,0.078,-0.495,-0.009,-0.439,-0.118,-0.065,0.122,-0.131,-0.077,0.181,0.115,-0.991,0.153
FAM65B,0.4,0.04,-0.76,-0.286,0.023,-0.11,-0.672,-0.591,0.093,-0.211,-0.119,0.139,-0.68,-0.104
FAM73B,-0.723,-0.501,1.854,-0.304,0.613,0.05,-0.649,0.502,0.46,-0.141,-0.149,-0.058,-0.106,0.233
FAM76B,-0.217,0.279,0.215,-0.129,0.282,0.178,0.161,1.034,0.187,-0.04,-0.352,0.718,0.317,0.214
FAM83A,-0.468,-0.482,-0.904,-0.276,-0.643,0.038,-0.201,-0.113,-0.529,0,-0.444,-0.429,-1.214,-0.338
FAM83C,-0.104,-0.958,0.024,-0.29,-0.326,-0.048,-0.034,-0.092,-0.259,0.035,-1.025,0.131,-0.256,0.06
FAM90A1,-0.504,-0.208,-0.575,-0.134,-0.58,-0.517,-0.828,-0.181,-1.059,-0.367,-0.429,0.001,0.162,-0.258
FAM92B,-0.376,-0.605,-0.268,-0.286,-0.007,-0.778,-0.504,-0.594,-0.394,-0.864,-0.663,-0.924,-1.408,-0.063
FAM96A,-1.027,-0.672,-0.14,0.003,0.166,-0.384,-0.186,-0.587,-0.218,-0.423,-0.128,-0.107,-0.412,0.106
FAR2,0.102,0.082,-0.069,0.189,0.093,-0.539,-0.256,0.129,-0.173,0.079,-0.757,0.325,-0.617,-0.652
FASTKD3,0.193,-0.41,0.197,-0.205,-0.416,-0.393,-0.078,-0.596,0.095,-0.31,-0.385,0.009,0.19,0.574
FBLN1,-0.308,-0.012,0.033,0.153,-0.288,0.187,-0.189,-0.634,0.127,-0.153,0.353,0.135,-0.903,-0.015
FBXL12,-0.459,-0.429,-0.791,-0.219,-0.268,-0.449,-0.209,-0.257,-1.112,-0.287,-0.059,-0.293,0.36,0.061
FBXL14,-0.201,-1.054,-0.774,-0.106,-0.403,-0.256,0.002,0.178,-0.133,-0.67,-0.512,0.134,-0.708,-0.292
FBXL18,0.23,-0.212,-0.411,0.381,-0.22,-0.108,-0.573,0.403,-0.697,0.018,-0.785,-0.424,-0.061,-0.484
FBXL20,0.64,-0.222,-0.101,-0.619,-0.087,0.522,0.652,0.143,0.415,0.043,0.801,0.528,-0.142,1.078
FBXL5,-0.695,-0.52,0.471,0.436,-0.341,0.26,0.337,-0.294,-0.323,0.103,0.277,0.211,-0.579,0.198
FBXL6,-0.644,-0.082,-0.918,0.046,-0.292,-0.375,-0.597,0.108,-0.692,-0.364,-0.565,-0.711,-1.09,-0.4
FBXO10,-0.806,-0.622,-0.606,-0.474,0.307,0.03,-0.359,0.162,-1.197,-0.125,-0.886,-0.376,-0.659,0.052
FBXO22,0.08,-0.217,-0.774,0.309,-0.91,-0.173,-0.307,-0.339,-0.342,-0.303,0.051,-0.329,-0.375,-0.995
FBXO25,-0.269,0.288,-0.871,0.17,-0.255,0.021,-0.553,0.373,-0.389,-0.151,-0.514,0.081,0.327,0.142
FBXO28,-0.296,-0.589,-1.07,-0.273,0.113,-0.874,-0.706,-0.56,-0.458,-0.593,0.024,-0.146,-0.243,-0.701
FBXO31,-0.412,-0.197,-0.649,-0.363,-0.021,0.148,-0.308,-0.226,-0.605,-0.152,-1.365,0.002,-0.329,-0.459
FBXO32,0.334,0.425,-0.697,-0.194,-0.051,-0.012,-0.045,0.017,-0.258,0.197,-0.584,-0.658,-0.606,-0.06
FBXO33,-0.984,-0.195,-0.46,-0.009,0.325,-0.154,-0.044,-0.02,-0.41,-0.126,-0.139,0.551,-0.087,0.094
FBXO43,-0.582,0.399,-0.718,0.012,-0.375,-0.276,0.348,0.268,-0.249,0.22,0.02,0.525,0.103,-0.211
FBXO8,-0.294,0.14,0.371,0.418,-0.254,0.082,0.409,-0.154,0.499,0.572,-1.137,0.014,0.534,-0.021
FCHO1,-0.259,0.233,-0.463,-1.327,-0.448,0.119,0.152,0.02,-0.314,-0.642,-0.188,-0.1,-0.027,0.168
FCRL1,-0.061,0.322,0.559,-0.466,0.111,-0.567,0.105,-0.261,0.344,0.123,-0.593,0.142,-0.003,-0.038
FDFT1,0.411,0.404,0.515,-0.548,-0.162,0.689,0.161,0.204,-0.506,-0.302,-0.308,0.2,-0.154,0.164
FEZF1,-0.221,-0.068,-0.296,-0.201,0.152,-0.683,0.126,0.318,-0.157,0.108,-0.516,-0.385,-0.046,0.536
FGD1,0.233,0.051,0.126,0.164,0.346,-0.166,0.244,-0.01,-0.115,-0.084,-0.2,-0.951,-0.481,-0.128
FGF17,0.156,0.152,-0.711,0.09,-0.455,0.26,-0.273,0.001,-0.236,-0.189,-0.67,-0.046,0.313,0.031
FHIT,-0.14,0.122,0.364,0.198,-0.052,0,0.154,0.651,0.327,0.148,0.148,-0.274,-0.318,-0.643
FIBCD1,0.001,0.094,-0.383,-0.528,-0.067,-0.197,0.103,-0.262,-0.266,0.184,-1.096,-0.537,-0.161,-0.106
FIBP,0.561,-0.067,1.158,-0.251,0.977,0.166,0.385,0.345,0.695,0.333,0.404,1.355,0.067,0.066
FIGNL1,-0.476,-0.891,-0.517,-0.004,-0.907,-0.181,-0.641,-0.159,-1.506,-0.155,-0.582,-0.093,-0.404,0.194
FITM2,0.033,-0.263,0.352,-0.137,-0.168,0.122,-0.096,0.068,-0.084,0.094,-0.554,-0.29,-0.956,-0.974
FKBP10,-0.508,-0.828,-1.014,-0.386,-0.412,-0.357,-0.659,-0.295,-0.598,-0.388,0.424,-0.586,-0.28,-0.29
FKBP8,-1.066,-0.137,-0.872,-0.004,-0.65,-0.667,0.162,-0.337,-0.904,-0.497,-0.441,-0.543,-0.947,-0.878
FLNA,-0.513,-0.157,-0.299,0.017,-0.075,-0.699,-0.037,0.262,-0.211,-0.172,-0.272,-0.432,-0.871,0.296
FLNC,-0.036,0.182,-0.845,-0.271,-0.347,-0.61,-0.2,-0.206,-0.258,-0.272,-0.665,-0.23,-1.042,0.054
FLVCR1,-0.244,-0.621,-0.446,-0.351,-0.143,0.486,-0.596,-0.288,-0.3,-0.207,-0.669,-0.137,-1.028,-0.562
FMO5,0.154,-0.27,-0.002,0.089,0.511,0.036,0.156,-0.268,-0.746,-0.231,-0.213,-0.19,-0.844,-0.057
FN3K,0.294,-0.388,0.012,0.091,0.109,-0.214,0.139,-0.852,-0.509,0.049,-0.507,-0.24,0.009,0.208
FOCAD,-0.841,-0.495,-0.284,-0.001,-0.866,-0.078,-0.056,-0.47,0.26,-0.088,-0.124,-0.121,-0.435,-0.02
FOLH1,-0.271,0.623,0.044,-0.384,-0.253,0.277,0.192,-0.723,0.176,-0.256,0.055,-0.127,0,0.445
FOSL2,-0.594,0.058,0.268,-0.98,-0.904,-0.304,-0.502,-0.745,0.179,0.307,-0.547,-0.183,-0.619,-0.386
FOXH1,-0.163,0.258,-0.679,0.16,-0.267,-0.037,-0.043,-0.317,-0.429,0,-1.068,-0.207,-0.368,0.08
FOXP1,-0.57,0.194,-0.602,0.118,-0.363,-0.008,-0.605,-0.367,0.32,-0.409,0.056,-0.661,0.057,-0.332
FOXP2,-0.724,0.034,0.174,0.379,0.31,0.311,-0.114,-0.243,0.518,0.008,0.14,0.102,0.421,-0.375
FOXR1,-0.46,-1.055,-0.175,-0.001,-0.663,-0.355,-0.121,0.201,-0.003,-0.021,-0.263,-0.355,0.004,-0.003
FRAT2,0.05,-0.006,-1.359,-0.052,-0.782,-0.906,-0.471,-0.485,-0.569,-0.184,-0.485,-0.201,-0.774,-0.524
FRMD1,-0.213,0.185,-0.7,-0.362,-0.498,0.129,0.21,-0.161,0.129,0.284,-0.643,0.17,-0.384,0.116
FRMPD1,0.213,0.004,-0.144,0.053,-0.557,-0.471,-0.468,0.075,0.188,-0.415,-0.321,-0.25,-0.101,0.834
FSBP,-0.728,-0.024,-0.78,0.111,0.239,-0.063,-0.163,0.233,0.151,0.178,0.295,0.06,-0.145,0.08
FSD1,-0.376,-0.036,-0.383,-0.476,-0.64,0.279,-0.358,0.156,-0.588,-0.201,-0.705,0.021,0.378,-0.359
FTMT,-0.249,-0.757,-1.024,-0.23,0.061,-0.296,-0.569,0.087,-0.09,-0.547,-0.141,-0.191,-0.429,-0.691
FUBP1,0.343,-0.185,0.872,-0.096,0.637,-0.971,-0.92,0.383,0.39,0.094,0.716,-0.193,-0.82,-0.479
FUT5,-0.128,-0.077,-0.574,-0.081,0.207,-0.541,-0.18,0.275,-0.639,-0.568,-0.621,-0.225,0.442,-0.148
FXR1,-0.278,-0.563,0.387,-0.555,-0.139,0.059,-0.436,-1.201,-0.027,-0.077,0.34,0.584,-0.894,-0.435
FXYD2,-0.016,0.139,0.719,-0.259,0.197,0.443,0.152,-0.317,-0.195,0.129,0.174,0.008,-0.678,-0.005
FXYD5,-0.466,-0.073,-0.102,-0.13,-0.193,0.192,0.093,-0.282,-0.53,0.007,-0.705,-0.054,-1.155,0.056
FZD1,-0.141,0.51,0.049,-0.348,0.175,-0.044,0.111,-0.33,0.087,-0.075,-0.625,0.028,0.499,-0.43
FZD10,-0.448,-0.439,0.478,-0.66,-0.294,-0.339,-0.447,-0.283,-0.12,-0.205,-0.17,0.017,-0.845,0.042
G3BP1,-0.101,-0.184,0.346,0.718,-0.009,0.542,0.94,0.499,0.395,0.2,-0.309,0.489,-0.518,-0.088
G3BP2,-0.405,-0.217,-0.578,-0.512,-0.679,-0.221,-0.205,-0.426,0.152,-0.122,0.505,0.933,-0.21,-0.393
G6PD,-0.398,-0.718,0.497,0.059,0.498,0.393,-0.423,-0.411,-0.37,-0.069,-0.784,-0.202,-0.545,0.009
GABBR1,-0.349,-0.673,-0.541,-0.041,-0.365,-0.14,-0.752,-0.083,-0.432,-0.202,-0.259,-0.242,-1.256,0.082
GABRA5,-0.361,-0.278,0.248,0.154,-0.182,-0.629,0.677,-0.075,-0.241,-0.127,-0.14,0.044,-0.222,0.229
GABRR2,-0.615,-0.237,-0.576,-0.51,-0.318,0.152,-0.038,-0.332,-0.064,-0.399,-0.31,-0.038,-1.215,0.16
GADD45A,0.497,-0.496,0.543,-0.235,0.418,0.433,0.251,-0.179,0.275,0.005,0.277,0.291,-0.829,0.374
GAGE12H,-0.008,-0.252,-0.413,0.658,-0.566,0.178,-0.207,0.201,-0.286,0.682,-0.089,0.256,-0.616,-0.041
GALK1,-0.098,-0.497,-0.08,-0.824,0.022,-1.071,-0.261,-0.821,-0.493,0.097,-0.305,-0.378,-0.927,-0.355
GALNT1,0.121,0.138,0.164,-0.654,-0.194,0.081,0.299,-0.649,0.2,-0.069,0.023,0.595,0.376,0.084
GALNT3,0.087,0.134,-0.628,-0.127,-0.314,0.197,0.132,0.591,0.282,0.277,-0.252,0.102,-0.279,0.343
